MPS4000 Validation Report
S/N:,251
Date,2015/01/01
Time,04:55:44
Channels,64
Pressures,15
Temperatures,3
Error Limit,0.06
 ,Temp,Full Scale,Target,Source,MPS,,Percent
Chan,Deg C,Pressure,Pressure,Pressure,Pressure,Delta,Error
8,16.47,1.000,-0.571429,-0.571410,-0.571462,-0.000052,-0.005,pass
8,16.38,1.000,-0.714286,-0.714308,-0.714328,-0.000020,-0.002,pass
8,16.34,1.000,-0.857143,-0.857100,-0.857103,-0.000003,-0.000,pass
8,16.41,1.000,-1.000000,-1.000009,-1.000138,-0.000128,-0.013,pass
9,16.38,1.000,0.000000,0.000005,0.000006,0.000001,0.000,pass
9,16.41,1.000,0.142857,0.142918,0.142921,0.000004,0.000,pass
9,16.44,1.000,0.285714,0.285667,0.285792,0.000125,0.012,pass
9,16.31,1.000,0.428571,0.428620,0.428688,0.000068,0.007,pass
9,16.38,1.000,0.571429,0.571409,0.571455,0.000045,0.005,pass
9,16.44,1.000,0.714286,0.714302,0.714282,-0.000020,-0.002,pass
9,16.41,1.000,0.857143,0.857110,0.857191,0.000081,0.008,pass
9,16.34,1.000,1.000000,0.999998,1.000113,0.000115,0.011,pass
9,16.41,1.000,-0.142857,-0.142903,-0.142852,0.000051,0.005,pass
9,16.41,1.000,-0.285714,-0.285719,-0.285772,-0.000053,-0.005,pass
9,16.44,1.000,-0.428571,-0.428603,-0.428621,-0.000017,-0.002,pass
9,16.47,1.000,-0.571429,-0.571410,-0.571438,-0.000028,-0.003,pass
9,16.38,1.000,-0.714286,-0.714308,-0.714293,0.000014,0.001,pass
9,16.34,1.000,-0.857143,-0.857100,-0.857060,0.000040,0.004,pass
9,16.41,1.000,-1.000000,-1.000009,-1.000120,-0.000110,-0.011,pass
10,16.38,1.000,0.000000,0.000005,0.000018,0.000013,0.001,pass
10,16.41,1.000,0.142857,0.142918,0.143024,0.000107,0.011,pass
10,16.44,1.000,0.285714,0.285667,0.285864,0.000196,0.020,pass
10,16.31,1.000,0.428571,0.428620,0.428774,0.000154,0.015,pass
10,16.38,1.000,0.571429,0.571409,0.571522,0.000113,0.011,pass
10,16.44,1.000,0.714286,0.714302,0.714345,0.000043,0.004,pass
10,16.41,1.000,0.857143,0.857110,0.857292,0.000182,0.018,pass
10,16.34,1.000,1.000000,0.999998,1.000189,0.000191,0.019,pass
10,16.41,1.000,-0.142857,-0.142903,-0.142901,0.000002,0.000,pass
10,16.41,1.000,-0.285714,-0.285719,-0.285751,-0.000032,-0.003,pass
10,16.44,1.000,-0.428571,-0.428603,-0.428624,-0.000021,-0.002,pass
10,16.47,1.000,-0.571429,-0.571410,-0.571461,-0.000051,-0.005,pass
10,16.38,1.000,-0.714286,-0.714308,-0.714392,-0.000084,-0.008,pass
10,16.34,1.000,-0.857143,-0.857100,-0.857102,-0.000002,-0.000,pass
10,16.41,1.000,-1.000000,-1.000009,-1.000140,-0.000131,-0.013,pass
11,16.38,1.000,0.000000,0.000005,0.000002,-0.000003,-0.000,pass
11,16.41,1.000,0.142857,0.142918,0.142955,0.000038,0.004,pass
11,16.44,1.000,0.285714,0.285667,0.285773,0.000105,0.011,pass
11,16.31,1.000,0.428571,0.428620,0.428679,0.000059,0.006,pass
11,16.38,1.000,0.571429,0.571409,0.571452,0.000043,0.004,pass
11,16.44,1.000,0.714286,0.714302,0.714242,-0.000060,-0.006,pass
11,16.41,1.000,0.857143,0.857110,0.857181,0.000071,0.007,pass
11,16.34,1.000,1.000000,0.999998,1.000098,0.000100,0.010,pass
11,16.41,1.000,-0.142857,-0.142903,-0.142912,-0.000009,-0.001,pass
11,16.41,1.000,-0.285714,-0.285719,-0.285798,-0.000079,-0.008,pass
11,16.44,1.000,-0.428571,-0.428603,-0.428674,-0.000070,-0.007,pass
11,16.47,1.000,-0.571429,-0.571410,-0.571465,-0.000055,-0.006,pass
11,16.38,1.000,-0.714286,-0.714308,-0.714384,-0.000076,-0.008,pass
11,16.34,1.000,-0.857143,-0.857100,-0.857144,-0.000043,-0.004,pass
11,16.41,1.000,-1.000000,-1.000009,-1.000168,-0.000158,-0.016,pass
12,16.38,1.000,0.000000,0.000005,-0.000035,-0.000040,-0.004,pass
12,16.41,1.000,0.142857,0.142918,0.142916,-0.000001,-0.000,pass
12,16.44,1.000,0.285714,0.285667,0.285791,0.000124,0.012,pass
12,16.31,1.000,0.428571,0.428620,0.428677,0.000056,0.006,pass
12,16.38,1.000,0.571429,0.571409,0.571442,0.000033,0.003,pass
12,16.44,1.000,0.714286,0.714302,0.714293,-0.000009,-0.001,pass
12,16.41,1.000,0.857143,0.857110,0.857197,0.000087,0.009,pass
12,16.34,1.000,1.000000,0.999998,1.000094,0.000096,0.010,pass
12,16.41,1.000,-0.142857,-0.142903,-0.142848,0.000055,0.006,pass
12,16.41,1.000,-0.285714,-0.285719,-0.285735,-0.000016,-0.002,pass
12,16.44,1.000,-0.428571,-0.428603,-0.428569,0.000034,0.003,pass
12,16.47,1.000,-0.571429,-0.571410,-0.571392,0.000018,0.002,pass
12,16.38,1.000,-0.714286,-0.714308,-0.714281,0.000027,0.003,pass
12,16.34,1.000,-0.857143,-0.857100,-0.857045,0.000055,0.006,pass
12,16.41,1.000,-1.000000,-1.000009,-1.000065,-0.000056,-0.006,pass
13,16.19,1.000,0.000000,0.000005,-0.000003,-0.000008,-0.001,pass
13,16.19,1.000,0.142857,0.142918,0.142922,0.000004,0.000,pass
13,16.25,1.000,0.285714,0.285667,0.285811,0.000144,0.014,pass
13,16.13,1.000,0.428571,0.428620,0.428714,0.000093,0.009,pass
13,16.19,1.000,0.571429,0.571409,0.571439,0.000029,0.003,pass
